FID	IID	family
SH01085	SH01085	GS1-001
SH01086	SH01086	GS1-001
SH01087	SH01087	GS1-001
SH01088	SH01088	GS1-001
SH01089	SH01089	GS1-001
SH01090	SH01090	GS1-001
SH01091	SH01091	GS1-001
SH01092	SH01092	GS1-001
SH01093	SH01093	GS1-001
SH01095	SH01095	GS1-001
SH01096	SH01096	GS1-001
SH01097	SH01097	GS1-001
SH01098	SH01098	GS1-001
SH01099	SH01099	GS1-001
SH01100	SH01100	GS1-001
SH01101	SH01101	GS1-001
SH01102	SH01102	GS1-001
SH01103	SH01103	GS1-001
SH01104	SH01104	GS1-001
SH01105	SH01105	GS1-001
SH01106	SH01106	GS1-001
SH01108	SH01108	GS1-001
SH01109	SH01109	GS1-001
SH01110	SH01110	GS1-001
SH01111	SH01111	GS1-001
SH01112	SH01112	GS1-001
SH01113	SH01113	GS1-001
SH01115	SH01115	GS1-001
SH01116	SH01116	GS1-001
SH01117	SH01117	GS1-001
SH01118	SH01118	GS1-001
SH01120	SH01120	GS1-001
SH01121	SH01121	GS1-001
SH01122	SH01122	GS1-001
SH01123	SH01123	GS1-001
SH01124	SH01124	GS1-001
SH01125	SH01125	GS1-001
SH01126	SH01126	GS1-001
SH01127	SH01127	GS1-001
SH01128	SH01128	GS1-001
SH01129	SH01129	GS1-001
SH01130	SH01130	GS1-001
SH01131	SH01131	GS1-001
SH01132	SH01132	GS1-001
SH01133	SH01133	GS1-001
SH01134	SH01134	GS1-001
SH01136	SH01136	GS1-001
SH01137	SH01137	GS1-001
SH01138	SH01138	GS1-001
SH01139	SH01139	GS1-001
SH01140	SH01140	GS1-001
SH01141	SH01141	GS1-001
SH01142	SH01142	GS1-001
SH01143	SH01143	GS1-001
SH01145	SH01145	GS1-001
SH01146	SH01146	GS1-001
SH01148	SH01148	GS1-001
SH01149	SH01149	GS1-001
SH01151	SH01151	GS1-001
SH01152	SH01152	GS1-001
SH01153	SH01153	GS1-001
SH01154	SH01154	GS1-001
SH01155	SH01155	GS1-001
SH01157	SH01157	GS1-001
SH01158	SH01158	GS1-001
SH01159	SH01159	GS1-001
SH01160	SH01160	GS1-001
SH01162	SH01162	GS1-001
SH01163	SH01163	GS1-001
SH01164	SH01164	GS1-001
SH01165	SH01165	GS1-001
SH01166	SH01166	GS1-001
SH01167	SH01167	GS1-001
SH01168	SH01168	GS1-001
SH01169	SH01169	GS1-001
